13D Theme / Index,Index Weight in HC Ideas,Ticker,Name,Security Weight in Index,Security Weight in 13D Highest Conviction Portfolio
13D China Deep Value & High Dividend Yield Index,5.00%,600019.SS,BAOSHAN IRON & STEEL CO-A,4.55%,0.23%
,,601668.SS,CHINA STATE CONSTRUCTION -A,4.55%,0.23%
,,000651.SZ,GREE ELECTRIC APPLIANCES I-A,4.55%,0.23%
,,600285.SS,HENAN LINGRUI PHARMACEUTIC-A,4.55%,0.23%
,,000895.SZ,HENAN SHUANGHUI INVESTMENT-A,4.55%,0.23%
,,0388.HK,Hong Kong Exchanges & Clearing Ltd.,4.55%,0.23%
,,000932.SZ,"Hunan Valin Steel Co., Ltd. Class A",4.55%,0.23%
,,600887.SS,INNER MONGOLIA YILI INDUS-A,4.55%,0.23%
,,601225.SS,SHAANXI COAL INDUSTRY CO L-A,4.55%,0.23%
,,002327.SZ,Shenzhen Fuanna Bedding & Furnishing Co. Ltd. Class A,4.55%,0.23%
,,601288.SS,AGRICULTURAL BANK OF CHINA-A,2.27%,0.11%
,,1288.HK,AGRICULTURAL BANK OF CHINA-H,2.27%,0.11%
,,600585.SS,ANHUI CONCH CEMENT CO LTD-A,2.27%,0.11%
,,0914.HK,ANHUI CONCH CEMENT CO LTD-H,2.27%,0.11%
,,601939.SS,CHINA CONSTRUCTION BANK-A,2.27%,0.11%
,,0939.HK,CHINA CONSTRUCTION BANK-H,2.27%,0.11%
,,0941.HK,CHINA MOBILE LTD,2.27%,0.11%
,,600941.SS,CHINA MOBILE LTD-A,2.27%,0.11%
,,600028.SS,CHINA PETROLEUM & CHEMICAL-A,2.27%,0.11%
,,0386.HK,CHINA PETROLEUM & CHEMICAL-H,2.27%,0.11%
,,601088.SS,CHINA SHENHUA ENERGY CO-A,2.27%,0.11%
,,1088.HK,CHINA SHENHUA ENERGY CO-H,2.27%,0.11%
,,600030.SS,CITIC Securities Co. Ltd. Class A,2.27%,0.11%
,,6030.HK,CITIC Securities Co. Ltd. Class H,2.27%,0.11%
,,0883.HK,CNOOC LTD,2.27%,0.11%
,,600938.SS,CNOOC LTD-A,2.27%,0.11%
