,,,,,,,,,,,,,,,
,Spencer - A/R,,,,,,,,,,,,,,
,As of 2025-06-01 22:00:03 Atlantic Standard Time/AST • Generated by Spencer Gottshall,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,
,Show: All accounts,,,,,,,,,,,,,,
,Due Date not equal to ,,,,,,,,,,,,,,
,"Invoice Stage contains Invoice Requested,Invoice Sent,Renewal Invoice Requested,Renewal Invoice Sent",,,,,,,,,,,,,,
,Opportunity Owner: Full Name not equal to Ashish Dunna,,,,,,,,,,,,,,
,"Stage not equal to Closed Lost,Closed Lost/Non-Renewal",,,,,,,,,,,,,,
,Account Owner: Full Name contains Spencer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,AR Aging  ?,,Opportunity Name,Account Owner: Full Name,Account Name,Stage,Invoice Stage,Invoice Amount,Days Overdue,At Risk,Definite Cancellation,Voting and Arrears Attributes,A/R And Invoicing Note,Wiring Instructions,
,Over 90,,Centerbridge Partners L.P. - 2024-8-1 - 2025-7-31,Spencer Gottshall,Centerbridge Partners L.P.,Closed Won,Renewal Invoice Sent,"USD 75,000",100,FALSE,FALSE,Arrears,5/21/25: Working with Gina on this. -SG,"Beneficiary: 13D Research International Limited
Beneficiary Address: Nerine Chambers, Quastisky Building, PO Box 905, Road Town, Tortola, VG 1110, British Virgin Islands

Beneficiary Bank: DBS Bank (Hong Kong) Limited
Beneficiary Bank Address: 11/F, The C",
,,,XP Investments - 2025-03-01 - 2026-02-28,Spencer Gottshall,XP Investments,Closed Won,Renewal Invoice Sent,"USD 10,000",92,FALSE,FALSE,N/A,5/29/25: XP reached out to one of their third parties to pay this invoice via soft-dollars. They apologized for the confusion as they thought this was for someone else and this will be paid shortly.  -SG,"Beneficiary: 13D Research International Limited
Beneficiary Address: Nerine Chambers, Quastisky Building, PO Box 905, Road Town, Tortola, VG 1110, British Virgin Islands

Beneficiary Bank: DBS Bank (Hong Kong) Limited
Beneficiary Bank Address: 11/F, The C",
,,,Markel-Gayner Asset Management Corporation - 2025-03-02 - 2026-03-01,Spencer Gottshall,Markel-Gayner Asset Management Corporation,Closed Won,Renewal Invoice Sent,"USD 4,125",91,FALSE,FALSE,N/A,5/21/25: Was able to save this account for one more quarter. They said this would be paid on 6/5/25. -SG,"Wire to intermediary/correspondent bank:
Pacific Coast Bankers Bank
340 Pine St. Suite #401
San Francisco, California 94104
SWIFT #PCBBUS66
ABA #121042484

Credit to beneficiary bank:
Merchants Commercial Bank
4608 Tutu Park Mall
St. Thomas, USVI 00802
Ac",
,Subtotal,Sum,,,,,,"USD 89,125",283,0,0,,,,
,,Count,3,,,,,,,,,,,,
